goos: linux
goarch: amd64
pkg: lostluck.dev/beam-go/internal/schema
cpu: 12th Gen Intel(R) Core(TM) i7-1260P
BenchmarkRoundtrip/empty-16         	  325962	      3572 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  399955	      3388 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  309837	      3703 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  340563	      3543 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  298206	      3547 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  373555	      3627 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  415393	      3546 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  317743	      3740 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  322683	      3619 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/empty-16         	  326868	      3476 ns/op	    1712 B/op	      23 allocs/op
BenchmarkRoundtrip/oneString-16     	  264157	      5180 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  241807	      5175 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  228562	      4937 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  247002	      5396 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  263356	      5225 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  241395	      4995 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  279495	      5636 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  247681	      4915 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  267178	      5413 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneString-16     	  271903	      5430 ns/op	    1808 B/op	      27 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  251193	      4323 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  329722	      4750 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  332361	      4553 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  313764	      4589 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  299973	      4560 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  224553	      4687 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  226798	      4437 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  238788	      4245 ns/op	    1792 B/op	      26 allocs/op
BenchmarkRoundtrip/oneNillableString_nil-16         	  296275	      4411 ns/op	    1792 B/op	      26 allocs/op
